blogId,blogUrl,nickname,groupIds,groupNames,isInfluencer,influencerId,influencerUrl
"morgoth","https://blog.naver.com/morgoth","와시즈","2","06.투자","N","",""
"chul2ni","https://blog.naver.com/chul2ni","날고 싶은 브라키오","3","09.해외투자","N","",""
"sunsetfrappuccino","https://blog.naver.com/sunsetfrappuccino","노을프라푸치노","7","02.Insight","N","",""
"cpasuyong","https://blog.naver.com/cpasuyong","회계요정","2","06.투자","N","",""
"wjdrjstjr21","https://blog.naver.com/wjdrjstjr21","투자하는 정선비","2","06.투자","N","",""
"pivotinve","https://blog.naver.com/pivotinve","피벗리서치","14","03.정리","N","",""
"azmkhy","https://blog.naver.com/azmkhy","귀청","2","06.투자","N","",""
"jeesuwon","https://blog.naver.com/jeesuwon","작은슈퍼개미","2","06.투자","N","",""
"u7i8o94323","https://blog.naver.com/u7i8o94323","배터린치","2","06.투자","N","",""
"judory79","https://blog.naver.com/judory79","퍼니하니","2","06.투자","N","",""
"centum_tiger","https://blog.naver.com/centum_tiger","센텀호랑이","2","06.투자","N","",""
"ksjist","https://blog.naver.com/ksjist","나름대로의 분석","2","06.투자","N","",""
"deepburnblue","https://blog.naver.com/deepburnblue","deepburnblue","2","06.투자","N","",""
"endurance88","https://blog.naver.com/endurance88","블랙맘바","2","06.투자","N","",""
"jichimi","https://blog.naver.com/jichimi","이루리","2","06.투자","N","",""
"stocknovelist","https://blog.naver.com/stocknovelist","주식소설가","2","06.투자","N","",""
"growingup2021","https://blog.naver.com/growingup2021","지티오","2","06.투자","N","",""
"goodmanner","https://blog.naver.com/goodmanner","은혜성","2","06.투자","N","",""
"gunution","https://blog.naver.com/gunution","빠오","2","06.투자","N","",""
"bkcda","https://blog.naver.com/bkcda","비타민","2","06.투자","N","",""
"chacha36","https://blog.naver.com/chacha36","킵센","2","06.투자","N","",""
"djyashin1","https://blog.naver.com/djyashin1","플랜D","2","06.투자","N","",""
"ganji-","https://blog.naver.com/ganji-","ganji","2","06.투자","N","",""
"kangww93","https://blog.naver.com/kangww93","투자자 강의원","2","06.투자","N","",""
"chief_cho","https://blog.naver.com/chief_cho","SHUT UP READ","2","06.투자","N","",""
"likemoso","https://blog.naver.com/likemoso","모소대나무","7","02.Insight","N","",""
"knightngo1","https://blog.naver.com/knightngo1","가드올려","2","06.투자","N","",""
